id;Q1- What is your gender?;Q2- Which age group do you belong to?;City;Country;Center (e.g: Univeristy of …., Institute of ….,….);Type (Public/Private);Q3- What is the highest level of education you have completed?;Q4- How many years have you worked in sports statistics in academia?;Q5- Wich best describes your profile?;Q6- Do you currently belong to a sports statistics research group?;Research group name;Link of center or research group;Number of members of research group;Total number of citations in Google Scholar;Total number of citations in Google Scholar since 2018;Total number of citations acording to H-index;Total number of citations acording to H-index since 2018;Number of citations of the article with most citations;Q7- What sport have you worked on the most on a statistical level? (Select all that apply);Number of sports studied
32;Male;60 +;Vancouver;Canada;University of British Columbia;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;935;298;17;10;103;Basketball,Cricket,Ice Hockey,Pickleball;4
33;Male;30-44;Dortmund;Germany;University Technische of Dortmund;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;BigData Analytics in Sports;https://bodai.unibs.it/bdsports/;60;1255;1070;19;18;232;Soccer;1
34;Male;30-44;Wilmington;United States;University of North Carolina Wilmington;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;122;104;7;7;28;American Football;1
35;Male;60 +;Melbourne;Australia;University Victoria. Institut for Health & Sport;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;50435;24031;108;67;7774;Soccer,Ice Hockey,Running,Cycling,AFL,Skiing,Rowing Rugby Union,Rugby 7s,Swimming;9
36;Female;30-44;Gangodawila;India;University of Sri Jayewardenepura;Public;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;Yes;USJ Statistics in Sports Research Group;http://science.sjp.ac.lk/sta/statistics-in-sports-research-group/;12;147;124;7;5;31;Cricket;1
37;Male;45-59;Athens ;Greece;University of Economics and Business Athens ;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;AUEB sports analytics group;https://aueb-analytics.wixsite.com/sports;8;6140;2935;40;29;486;Basketball,Soccer,Handball;3
38;Male;30-44;Luxemburg;Luxemburg;University of Luxemburg;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;S-TRAINING;https://s-training.eu/;51;5508;4399;25;20;3229;Soccer,Table tennis;2
39;Male;30-44;Bonn;Germany;University of Bonn;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;484;416;11;11;133;Running;1
40;Male;30-44;Saratoga Springs;United States;Skidmore College;Private;Doctorate or PhD;5 years or more;Academic sports statistician with years of expertise and contributions, but currently working in the sports industry;No;No research group ;No research group ;0;618;536;12;9;142;American Football;2
41;Male;30-44;Sannio;Italy;University of Sannio;Public;Doctorate or PhD;1-2 years;Full-time academic of sports statistics/analytics field;Yes;BigData Analytics in Sports;https://bodai.unibs.it/bdsports/;60;217;176;7;7;37;Soccer,Tennis;2
42;Female;45-59;Brescia;Italy;University of Brescia;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;BigData Analytics in Sports;https://bodai.unibs.it/bdsports/;60;897;508;14;12;104;Basketball;4
43;Female;30-44;Canberra;Australia;University of Canberra;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;414;359;9;9;77;Soccer,Rugby Union, Rugby League, Field Hockey;4
44;Male;45-59;Fairfield;United States;University of Fairfield;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;ISI Special Interest Group on Sports Statistics;https://www.isi-web.org/committee/special-interest-group-sports-statistics;26;351;176;12;8;42;Basketball,e-Sports;2
45;Male;30-44;Rapenburg;Netherlands;University of Leiden;Public;Doctorate or PhD;5 years or more;Part-time sports statistician in academia and part-time in the sports industry;Yes;Sports Data Center;https://www.universiteitleiden.nl/en/science/sport-data-center;0;381;354;9;9;79;Soccer,e-Sports,Running,Judo;2
